Info,Info,Info,Info,Info,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,Penalty Kicks,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,,,Expected,Expected,,,,,,,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,,,,,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
Team,Player,Nation,Pos,Age,MP,Starts,Min,Ast,G-PK,PK,CrdY,CrdR,xG,npxG,xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,A-xAG,KP,1/3,PPA,CrsPA,PrgP,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR,Mn/MP,Min%,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Fls,Fld,Off,Crs,OG,Recov,Won,Lost,Won%
West Ham United,Aaron Cresswell,eng ENG,"DF,FW",33,11,4,436.0,0,0,0,1,0,0.0,0.0,0.4,4,26,6,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.00,0.09,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,4.8,0,0,0,,0.00,0.00,,,,0,0,0,,0.0,0.0,254,308,82.5,4176,1722,142,155,91.6,80,96,83.3,25,48,52.1,0,0.4,0.3,-0.4,5,15,4,0,26,308,245,63,9,0,4,11,50,4,1,3,0,254,0,3,12,2.48,7,3,0,0,2,0,1,0.21,1,0,0,0,0,0,3,2,1,1,1,2,3,66.7,1,5,3,2,3,6,7,0,326,18,125,141,61,1,326,1,0,0.0,1,100.0,169,522,220,4,5,0,0,2,210,6,40,12.7,4,77,2,7,18,21,1.00,6,11,-5,-1.03,-0.76,6.6,5.6,+0.9,+0.19,+0.79,2,3,1,11,0,18,6,3,66.7
Brentford,Aaron Hickey,sct SCO,DF,21,9,9,713.0,0,0,0,5,0,0.2,0.2,0.1,9,21,13,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,7.9,0,7,1,14.3,0.88,0.13,0.00,0.00,25.3,0,0,0,0.03,-0.2,-0.2,243,277,87.7,3813,894,134,140,95.7,92,106,86.8,14,20,70.0,0,0.1,0.1,-0.1,1,10,2,0,21,277,254,23,3,1,3,5,20,0,0,0,0,243,0,7,7,0.88,6,0,0,0,1,0,0,0.00,0,0,0,0,0,0,16,9,9,3,4,7,7,100.0,0,7,3,4,3,19,10,0,356,25,132,155,76,7,356,14,5,35.7,5,35.7,212,1107,505,9,3,1,14,5,225,13,79,20.8,9,79,2,0,,0,1.11,10,12,-2,-0.25,-0.02,10.3,10.3,+0.1,+0.01,-0.07,10,16,0,5,0,42,1,9,10.0
Arsenal,Aaron Ramsdale,eng ENG,GK,25,6,6,540.0,0,0,0,0,0,0.0,0.0,0.0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5,0.83,14,9,64.3,5,1,0,2,33.3,0,0,0,0,,6.0,0,0,0,,0.00,0.00,,,,0,0,0,,0.0,0.0,131,188,69.7,3303,2420,38,38,100.0,61,62,98.4,32,86,37.2,0,0.0,0.0,0.0,0,4,0,0,2,188,153,35,16,0,0,0,0,0,0,0,0,131,0,2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,2,197,140,186,11,0,0,197,0,0,,0,,137,697,399,0,0,0,1,0,104,0,90,15.8,6,90,6,0,,31,2.67,11,5,+6,+1.00,-0.75,11.1,5.8,+5.3,+0.89,-0.45,0,1,0,0,0,6,0,0,
Manchester United,Aaron Wan-Bissaka,eng ENG,DF,25,22,20,1780.0,2,0,0,4,0,0.1,0.1,1.5,30,77,54,0.00,0.10,0.10,0.00,0.10,0.01,0.08,0.08,0.01,0.08,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,19.8,0,3,1,33.3,0.15,0.05,0.00,0.00,20.2,0,0,0,0.04,-0.1,-0.1,823,986,83.5,10824,3539,536,599,89.5,243,285,85.3,19,38,50.0,2,1.5,1.4,+0.5,12,51,16,3,77,986,839,145,7,0,1,14,138,0,0,0,0,823,2,27,26,1.31,24,1,0,0,1,0,3,0.15,3,0,0,0,0,0,42,25,18,20,4,19,26,73.1,7,29,15,14,41,83,68,1,1225,85,424,538,278,24,1225,32,17,53.1,9,28.1,594,2909,1429,30,27,4,20,9,691,54,81,52.0,20,88,16,2,11,3,1.32,30,34,-4,-0.20,-0.37,25.3,37.9,-12.7,-0.64,-0.65,17,9,0,14,0,94,21,19,52.5
Everton,Abdoulaye Doucouré,ml MLI,"FW,MF",30,32,32,2629.0,1,7,0,7,0,8.8,8.8,2.9,55,97,140,0.24,0.03,0.27,0.24,0.27,0.30,0.10,0.40,0.30,0.40,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,29.2,7,47,21,44.7,1.61,0.72,0.15,0.33,12.2,0,0,0,0.20,-1.8,-1.8,683,893,76.5,9807,2329,381,453,84.1,239,288,83.0,28,59,47.5,1,2.9,1.5,-1.9,34,43,18,1,97,893,876,16,0,1,1,26,0,0,0,0,0,683,1,29,67,2.29,59,0,0,6,1,1,5,0.17,3,0,0,2,0,0,43,27,20,14,9,18,46,39.1,28,23,3,20,15,58,19,0,1190,36,188,523,495,100,1190,48,25,52.1,21,43.8,635,3292,1692,55,37,17,61,42,800,140,82,76.9,32,82,17,0,,0,1.44,33,36,-3,-0.10,+0.81,40.3,41.8,-1.5,-0.05,-0.08,53,8,21,26,0,144,24,40,37.5
Leicester City,Abdul Fatawu Issahaku,gh GHA,FW,19,40,33,2814.0,13,6,0,6,1,4.7,4.7,11.7,144,116,396,0.19,0.42,0.61,0.19,0.61,0.15,0.37,0.53,0.15,0.53,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,31.3,6,75,15,20.0,2.40,0.48,0.08,0.40,20.6,0,0,0,0.06,+1.3,+1.3,875,1182,74.0,16143,3316,404,473,85.4,364,466,78.1,104,196,53.1,13,11.7,10.8,+1.3,65,45,80,26,116,1182,1120,61,6,9,22,143,22,33,17,1,0,875,1,33,133,4.26,99,5,18,5,5,1,23,0.74,20,0,2,0,1,0,61,42,33,16,12,27,51,52.9,24,40,7,33,20,81,39,0,1643,47,216,505,955,166,1643,181,90,49.7,77,42.5,1112,7790,4087,144,59,75,78,35,1153,396,70,68.0,33,79,13,7,28,0,2.03,63,27,+36,+1.15,+0.34,57.8,26.7,+31.2,+1.00,+0.25,43,45,11,143,0,149,48,38,55.8
Southampton,Adam Armstrong,eng ENG,"FW,MF",26,46,44,3745.0,13,17,4,5,0,22.0,18.9,7.8,96,107,382,0.50,0.31,0.82,0.41,0.72,0.53,0.19,0.72,0.45,0.64,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,41.6,21,140,54,38.6,3.36,1.30,0.12,0.31,15.0,1,4,4,0.14,-1.0,-1.9,970,1214,79.9,14323,2485,555,612,90.7,348,432,80.6,39,79,49.4,13,7.8,8.5,+5.2,62,42,40,9,107,1214,1147,62,7,8,12,62,28,4,0,0,0,970,5,43,115,2.77,88,1,8,12,4,2,19,0.46,14,0,1,4,0,0,25,16,8,8,9,13,28,46.4,15,30,3,27,9,34,23,0,1617,27,113,546,970,290,1613,77,21,27.3,44,57.1,985,5206,2353,96,56,41,67,44,1263,382,81,90.5,44,84,23,2,22,0,1.92,74,56,+18,+0.43,-0.93,68.6,42.7,+25.9,+0.62,-0.50,39,28,23,62,0,92,26,18,59.1
Brighton and Hove Albion,Adam Lallana,eng ENG,"MF,FW",35,25,13,850.0,1,0,0,2,0,0.8,0.8,1.7,9,39,55,0.00,0.11,0.11,0.00,0.11,0.09,0.18,0.27,0.09,0.27,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,9.4,0,11,2,18.2,1.16,0.21,0.00,0.00,17.8,0,0,0,0.08,-0.8,-0.8,451,509,88.6,4936,1088,326,352,92.6,78,90,86.7,7,8,87.5,1,1.7,2.0,-0.7,15,21,16,1,39,509,491,15,5,3,0,7,0,4,0,0,0,451,3,9,28,2.96,27,0,0,0,1,0,1,0.11,1,0,0,0,0,0,8,3,4,4,0,0,4,0.0,4,2,1,1,3,11,1,0,574,5,80,268,229,44,574,13,3,23.1,9,69.2,354,1310,483,9,12,4,14,18,491,55,34,24.9,13,53,0,12,13,8,1.24,12,13,-1,-0.11,+0.10,10.9,11.7,-0.8,-0.08,-0.16,8,11,2,7,0,22,3,5,37.5
Bournemouth,Adam Smith,eng ENG,DF,32,28,25,2150.0,2,0,0,6,0,0.1,0.1,1.3,24,89,28,0.00,0.08,0.08,0.00,0.08,0.00,0.05,0.06,0.00,0.06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,23.9,0,2,0,0.0,0.08,0.00,0.00,,26.9,0,0,0,0.03,-0.1,-0.1,782,1025,76.3,12722,5225,397,443,89.6,325,401,81.0,51,141,36.2,2,1.3,1.7,+0.7,17,58,23,17,89,1025,793,229,14,3,1,39,215,0,0,0,0,782,3,26,31,1.30,26,4,0,0,1,0,5,0.21,5,0,0,0,0,0,37,23,18,11,8,19,39,48.7,20,28,11,17,21,58,62,0,1229,92,404,537,295,11,1229,15,4,26.7,8,53.3,521,2455,1022,24,22,3,14,7,580,28,77,62.9,25,85,15,3,12,6,1.61,39,33,+6,+0.25,+1.60,37.6,31.6,+6.0,+0.25,+0.83,30,22,1,39,0,92,18,22,45.0
